De / Het,Dutch,English,,Source,Level
***,Basics,Basics,1,,
de,man,the,man,,
de,vrouw,the,woman,,
de,jongen,the,boy,,
het,kind,the,child,,
het,meisje,the,girl,,
de,appel,the,apple,,
de,melk,the,milk,,
het,sap,the,juice,,
het,brood,the,bread,,
het,water,the,water,,
***,Basics,Basics,2,(/course/356041/dutch-duolingo-de-or-het-vocabulary/3/),
de,boterham,the,sandwich,,
de,rijst,the,rice,,
de,krant,the,newspaper,,
het,menu,the,menu,,
het,boek,the,book,,
***,Phrases,Phrases,(/course/356041/dutch-duolingo-de-or-het-vocabulary/4/),,
het,Nederlands,the,Dutch,(language),
het,Engels,the,English,(language),
de,spijt,the,regret,,
***,Food,Food,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/5/),
de,vis,the,fish,,
de,sinaasappel,the,orange,,
de,wijn,the,wine,,
de,koffie,the,coffee,,
het,ei,the,egg,,
de,kip,the,chicken,,
het,bord,the,plate,,
de,suiker,the,sugar,,
het,middageten,the,lunch,(feminime),
het,ontbijt,the,breakfast,,
de,kaas,the,cheese,,
het,fruit,the,fruit,,
de,pasta,the,pasta,,
de,lunch,the,lunch,(masculine),
het,bier,the,beer,,
***,Food,Food,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/6/),
het,rundvlees,the,beef,,
de,soep,the,soup,,
de,tomaat,the,tomato,,
de,aardbei,the,strawberry,,
de,citroen,the,lemon,,
de,limoen,the,lime,,
het,avondeten,the,dinner,,
het,vlees,the,meat,,
de,maaltijd,the,meal,,
de,thee,the,tea,,
het,varkensvlees,the,pork,,
de,vegetariër,the,vegetarian,,
het,eten,the,food,,
de,peper,the,pepper,,
de,olie,the,oil,,
***,Food,Food,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/7/),
de,dorst,the,thirst,,
de,honger,the,hunger,,
de,banaan,the,banana,,
het,zout,the,salt,,
***,Animals,Animals,I,(/course/356041/dutch-duolingo-de-or-het-vocabulary/8/),
de,kat,the,cat,,
het,dier,the,animal,,
de,hond,the,dog,,
het,paard,the,horse,,
de,vogel,the,bird,,
de,beer,the,bear,,
de,muis,the,mouse,,
de,krab,the,crab,,
de,spin,the,spider,,
de,olifant,the,elephant,,
de,eend,the,duck,,
de,schildpad,the,turtle,,
het,konijn,the,rabbit,,
de,koe,the,cow,,
de,neushoorn,the,rhino,,
***,Animals,Animals,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/9/),
de,hoorn,the,horn,,
het,schaap,the,sheep,,
het,hert,the,deer,,
de,staart,the,tail,,
de,gans,the,goose,,
de,uil,the,owl,,
***,Clothing,Clothing,(/course/356041/dutch-duolingo-de-or-het-vocabulary/10/),,
de,schoen,the,shoe,,
de,jurk,the,dress,,
de,jas,the,jacket,,
de,rok,the,skirt,,
het,hemd,the,shirt,,
de,kleren,the,clothing,,
de,klomp,the,clog,,
de,broek,the,pants,,
***,Formal,Formal,+,Colors,+
de,meneer,the,gentleman,,
de,mevrouw,the,lady,,
de,kleur,the,color,,
de,vlag,the,flag,,
het,station,the,station,,
***,Dates,Dates,and,time,I
de,nacht,the,night,,
de,middag,the,afternoon,,
de,tijd,the,time,,
de,ochtend,the,morning,,
de,avond,the,evening,,
de,dag,the,day,,
de,maandag,the,Monday,,
de,dinsdag,the,Tuesday,,
de,zondag,the,Sunday,,
de,zaterdag,the,Saturday,,
de,donderdag,the,Thursday,,
de,vrijdag,the,Friday,,
de,woensdag,the,Wednesday,,
de,dinsdag,Tuesday,,,
